molecule_chembl_id,molecule_name,formula,total_assays,median_IC50_uM,Active,Inactive
CHEMBL2068456,9-[4-(5-Amino-4-aminomethyl-pentyl)-phenylamino]-5-methoxy-acridine-4-carboxylic acid (2-dimethylamino-ethyl)-amide (2HCl),C31H38Cl2N6O2Pt,2,1.3,2,0
CHEMBL2068463,"Dichloro(1,3-propanediamine)platinum (II)",C3H8Cl2N2Pt,2,0.25,2,0
CHEMBL2068458,Dichlorodiacetyl oxy-(ammino acetoxy butylammino ethanol) platinum (II),C10H20Cl2N2O6Pt,2,11.4,2,0
CHEMBL2068460,Platinum complex,C25H26Cl2N4Pt,2,1.2999999999999998,2,0
CHEMBL2068461,DICHLORO(AMMINO ETHYLAMMINO ETHANOL) PLATINUM(II),C4H10Cl4N2OPt,2,13.85,2,0
CHEMBL2068467,Platinum complex,C9H20Cl2N2Pt,2,25.5,2,0
CHEMBL2146186,"[1-(2-Aminophenyl)-6,7-dimethoxyisoquinoline]dichloroplatinum (II)",C17H16Cl2N2O2Pt,2,14.85,2,0
CHEMBL2068510,Platinum complex,C8H14N2O5Pt,2,16.89,2,0
CHEMBL217087,[Pt(MSDT)Br]n,C5H9Br3NO2PtS2-,2,15.0,2,0
CHEMBL1743595,"1,1/t,t/CFDA labeled derivative",C38H44Cl2F6N8O13Pt2,2,50.0,2,0
CHEMBL2068304,triphenylethylene platinum (II) complex,C30H36Cl2N2O2Pt,2,48.0,2,0
CHEMBL2068305,triphenylethylene platinum (II) complex,C30H36Cl2N2Pt,2,2.95,2,0
CHEMBL2068309,Dinuclear trans-platinum complex,C6H22Cl2N6Pt2,2,2.1,2,0
CHEMBL82530,Dinuclear trans-platinum complex,C16H32Cl2N6Pt2+6,2,4.9,2,0
CHEMBL81467,Dinuclear trans-platinum complex,C14H28Cl2N6Pt2+6,2,16.7,2,0
CHEMBL102514,Acridinecarboxamide-Pt(II) complex; Hydrate,C22H29Cl3N5OPt+,2,0.685,2,0
CHEMBL83832,Dinuclear trans-platinum complex,C16H32Cl2N6Pt2+6,2,21.5,2,0
CHEMBL191321,DNP-Pt complex,C15H24ClN7O5Pt,2,50.0,2,0
CHEMBL190222,CFDA-Pt complex,C28H23Cl2N3O8Pt,2,50.0,2,0
