molecule_chembl_id,molecule_name,formula,target_pref_name,assay_description,standard_relation,standard_value,standard_units,pchembl_value
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,3600.0,nM,5.44
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,2200.0,nM,5.66
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,3900.0,nM,5.41
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,780.0,nM,6.11
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,380.0,nM,6.42
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,460.0,nM,6.34
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,480.0,nM,6.32
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,>,50000.0,nM,
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,>,50000.0,nM,
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,>,50000.0,nM,
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,>,50000.0,nM,
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,>,50000.0,nM,
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,>,50000.0,nM,
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,>,50000.0,nM,
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,>,50000.0,nM,
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,66.0,nM,7.18
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,400.0,nM,6.40
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,4100.0,nM,5.39
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,7200.0,nM,5.14
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1700.0,nM,5.77
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1500.0,nM,5.82
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1100.0,nM,5.96
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,3300.0,nM,5.48
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,380.0,nM,6.42
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,1200.0,nM,5.92
