Molecule,4(N)_q(N)_Hirshfeld,4(N)_q(N+1)_Hirshfeld,4(N)_q(N-1)_Hirshfeld,4(N)_f-_Hirshfeld,4(N)_f+_Hirshfeld,4(N)_CDD_Hirshfeld,4(N)_f0_Hirshfeld,4(N)_f+f-_Hirshfeld,4(N)_q(N)/f+_Hirshfeld,4(N)_q(N)/CDD_Hirshfeld,4(N)_q(N)/f-_Hirshfeld,4(N)_q(N+1)/f+_Hirshfeld,4(N)_q(N+1)/CDD_Hirshfeld,4(N)_q(N+1)/f-_Hirshfeld,4(N)_q(N-1)/f+_Hirshfeld,4(N)_q(N-1)/CDD_Hirshfeld,4(N)_q(N-1)/f-_Hirshfeld
iproplatin-conf_4,-0.0675157972,-0.1036340529,-0.0591197726,0.0083960246,0.0361182556999999,0.0277222310999999,0.0222571401499999,0.0003032497633662,-1.8692983891799635,-2.4354387984306225,-8.041400593323653,-2.869298389179963,-3.738301312263429,-12.343228829986987,-1.636839084673738,-2.132576284597816,-7.041400593323653
iproplatin-conf_5,-0.0703716332,-0.107970453,-0.0602711275,0.0101005057,0.0375988197999999,0.0274983140999999,0.0238496627499999,0.0003797670937031,-1.8716447371042224,-2.5591253683439468,-6.967139595792711,-2.8716447371042224,-3.92643900303692,-10.689608640090164,-1.603005834241638,-2.1918117336509746,-5.967139595792711
iproplatin-conf_6,-0.067318754,-0.1046678991,-0.0604461697,0.0068725842999999,0.0373491451,0.0304765608,0.0221108647,0.0002566851482326,-1.8024175337817836,-2.208869775096144,-9.79526056886637,-2.802417533781784,-3.4343737072852374,-15.229773041852704,-1.6184083876125988,-1.9833658429070504,-8.79526056886637
iproplatin-conf_7,-0.0651812663,-0.1001919128,-0.0581898577,0.0069914085999999,0.0350106465,0.0280192379,0.02100102755,0.0002447737350316,-1.861755574836357,-2.326304039125917,-9.323052052772317,-2.861755574836357,-3.5758257650540872,-14.330719105732143,-1.6620617874051538,-2.076782313197747,-8.323052052772315
iproplatin-conf_8,-0.068266038,-0.1056238482,-0.0599440954,0.0083219426,0.0373578101999999,0.0290358675999999,0.0228398763999999,0.000310889552146,-1.827356518878615,-2.351093445542506,-8.2031373299787,-2.8273565188786147,-3.6377025014399775,-12.69221061438227,-1.6045933923610975,-2.064484389645034,-7.2031373299787
iproplatin-conf_9,-0.0718730691,-0.1087171535,-0.0601655533,0.0117075158,0.0368440843999999,0.0251365685999999,0.0242758000999999,0.0004313527002495,-1.9507356545953416,-2.85930312302054,-6.139053777745059,-2.950735654595342,-4.325059447453781,-9.286099233793044,-1.6329772955356714,-2.3935467985873,-5.139053777745059
lobaplatin,-0.0901165258,-0.1055238291,-0.0668754993,0.0232410264999999,0.0154073032999999,-0.0078337232,0.0193241648999999,0.0003580815442888,-5.848948647619602,-11.503664796325706,-3.8774761433192295,-6.848948647619602,-13.47045669165333,-4.540411719766337,-4.340506446705701,-8.536872900998082,-2.877476143319229
lobaplatin-conf_1,-0.0900545916,-0.1038939268,-0.0667042063,0.0233503853,0.0138393351999999,-0.0095110501,0.0185948602499999,0.0003231538092158,-6.507147221927252,-9.468417330700422,-3.8566640525627647,-7.5071472219272515,-10.923496954347868,-4.449345287677116,-4.8198996076054295,-7.013337707052977,-2.8566640525627647
lobaplatin-conf_2,-0.0902518072,-0.1049444286,-0.0662341948,0.0240176124,0.0146926213999999,-0.009324991,0.0193551168999999,0.0003528816859251,-6.142662003119473,-9.678487325081596,-3.7577343533114895,-7.142662003119473,-11.254105081709993,-4.369477983581748,-4.507990303214376,-7.1028695684532,-2.757734353311489
lobaplatin-conf_3,-0.0902476415,-0.1049410298,-0.0662301163,0.0240175252,0.0146933882999999,-0.0093241369,0.01935545675,0.0003528988237686,-6.142057887356044,-9.678927118712725,-3.757574552269024,-7.142057887356044,-11.254771452358233,-4.369352334436189,-4.507477441401314,-7.103082785067215,-2.757574552269024
